uri,playlist,track.name,track.album.name,track.album.release_date,track.popularity,primaryartist_name,primaryartist_uri,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
spotify:track:3193ErFb7RSUxGPIKqdEBz,Daily Mix 1,Sun Of Jean,Yesterday's Gone,2017-01-20,45,Loyle Carner,spotify:artist:4oDjh8wNW5vDHyFRrDYC4k,11,-10.57,1,0.35,0.622,0.0107,0.371,0.392,90.587,314080,4
spotify:track:7zFXmv6vqI4qOt4yGf3jYZ,Daily Mix 1,Get You (feat. Kali Uchis),Freudian,2017-08-25,77,Daniel Caesar,spotify:artist:20wkVLutqVOYrc0kxFs7rA,4,-8.533,0,0.0321,0.422,5.2e-05,0.0749,0.358,74.038,278180,4
spotify:track:2xnv4pjbfG6VGpVVy4AcJm,Daily Mix 1,Juice,Juice,2016-11-10,52,CHISEKO,spotify:artist:5Z7R9YTOZFv7zC9Ns1gPMS,0,-10.323,1,0.355,0.149,0,0.0382,0.352,105.132,217143,4
spotify:track:5dlZero0Alg0iLaIYWbVUP,Daily Mix 1,Herside Story,Supernormal - EP,2016-12-02,1,Hare Squead,spotify:artist:3OqgnoaUHWX4ih4oAL0zzQ,7,-4.6,1,0.239,0.717,3.52e-05,0.0938,0.763,148.015,183347,4
spotify:track:5b47Qm3w2XEyUXKRkCh63S,Daily Mix 1,Belong in the Sun,¿Téo?,2018-09-13,46,¿Téo?,spotify:artist:0jsnWH4QCKcAMpR7vEhh9u,5,-9.455,0,0.0683,0.353,0.0688,0.121,0.67,96.982,194000,4
spotify:track:45OL4yJZuV5CghHuSoYFSF,Daily Mix 1,High Rises,High Rises,2019-06-28,46,CHIKA,spotify:artist:6UtYvUtXnmg5EtllDFlWp8,7,-8.187,1,0.385,0.438,0,0.11,0.604,65.36,212993,4
spotify:track:2AYZQuAJIHcM32EBkHgQs3,Daily Mix 1,Still,"Not Waving, But Drowning",2019-04-19,53,Loyle Carner,spotify:artist:4oDjh8wNW5vDHyFRrDYC4k,8,-7.373,1,0.233,0.522,0.105,0.135,0.609,91.777,213531,4
spotify:track:2Ga9AHueWsjobzryWHATQn,Daily Mix 1,"So Slow (feat. Anderson .Paak, King Chip)",The Anderson .Paak EP,2015-09-25,27,Blended Babies,spotify:artist:1hFXEoLCso0TI0QvWJdukg,5,-8.254,0,0.351,0.602,1.3e-05,0.298,0.814,74.516,186846,4
spotify:track:0erHRpul2OsRSuImLHQ3X4,Daily Mix 1,The Rivington,Free Nationals,2019-12-13,48,Free Nationals,spotify:artist:4596e2d3KmYzAeVenjCxfj,2,-6.225,1,0.226,0.578,0,0.152,0.636,140.056,216630,4
spotify:track:4ZSQS1o7qYAXJa5I37lk5x,Daily Mix 1,Up Late,Shea Butter Baby,2019-05-07,62,Ari Lennox,spotify:artist:1vaQ6v3pOFxAIrFoPrAcom,3,-6.558,0,0.0461,0.308,0.0128,0.119,0.348,79.551,266934,3
spotify:track:4Hj5yNHgu2dyrnzRQN7Gld,Daily Mix 1,Yellow,Good For You,2017-07-28,61,Aminé,spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ,0,-5.766,1,0.111,0.139,0,0.119,0.217,128.997,180000,4
spotify:track:5R5JNgR4IG95hJFkZNg7kE,Daily Mix 1,Tierney Terrace,Tierney Terrace / Florence,2015-08-14,50,Loyle Carner,spotify:artist:4oDjh8wNW5vDHyFRrDYC4k,7,-9.772,1,0.345,0.0956,0.00139,0.0579,0.243,122.929,197429,5
spotify:track:2PKTJ0qAGaavKrhLJuQrRt,Daily Mix 1,Make You Love Me (feat. Zak Abel),Make You Love Me (feat. Zak Abel),2017-08-11,43,Jarreau Vandal,spotify:artist:6f96znq79wvlknKHHHhtTW,6,-7.879,0,0.159,0.104,6.14e-06,0.12,0.382,96.61,224575,4
spotify:track:6Km73Tlvi4yS2e4XaIuXek,Daily Mix 1,23,Dear Annie,2018-02-16,5,Rejjie Snow,spotify:artist:3lLHpTOJ11tWiUNGYN14gt,4,-7.191,0,0.105,0.276,1.68e-05,0.22,0.5,97.032,181613,4
spotify:track:1H7idkNyn8cPtv33fX27ke,Daily Mix 1,Palm Trees,Pockets,2018-04-05,50,¿Téo?,spotify:artist:0jsnWH4QCKcAMpR7vEhh9u,7,-9.046,0,0.0317,0.23,0.000478,0.105,0.0433,108.011,226133,4
spotify:track:7yewACUEo8jX7oLhSaNzBs,Daily Mix 1,CROWN,INDUSTRY GAMES,2020-03-13,54,CHIKA,spotify:artist:6UtYvUtXnmg5EtllDFlWp8,5,-6.401,0,0.191,0.269,0,0.443,0.851,93.972,175836,4
spotify:track:6mEP1cofyVXsJ9oDAeaRIt,Daily Mix 1,Eternally 12,Eternally 12,2019-02-01,54,Melanie Faye,spotify:artist:4pcfFC9isxezJyTwbV1nIp,8,-15.257,0,0.0356,0.0539,0.442,0.0732,0.539,129.908,241603,4
spotify:track:6Syuk9r3zPxZkpftxkkUQ6,Daily Mix 1,"Tribe Quest (feat. Oreo Jones, DMA)",Light In The Attic,2014-12-15,33,Sirius Blvck,spotify:artist:3wfsbQBlI8mJ1aAytUlxxb,5,-10.149,1,0.229,0.0705,0,0.117,0.169,105.005,316453,4
