uri,playlist,genre,track.name,track.album.name,track.album.release_date,track.popularity,primaryartist_name,primaryartist_uri,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
spotify:track:09qzRI951OVkXGCc33gzcT,Country Music 101:  Country's Greatest Hits,country,My Maria,#1s ... and then some,2009-09-08,68,"list(name = ""Brooks & Dunn"")","list(uri = ""spotify:artist:0XKOBt59crntr7HQXXO8Yz"")",3,-4.627,1,0.0365,0.06,0.000257,0.184,0.897,125.571,207772,4
spotify:track:4EDBgrYqYQ6b50yhJWKsHp,Country Music 101:  Country's Greatest Hits,country,Should've Been A Cowboy,Greatest Hits,1998-10-20,57,"list(name = ""Toby Keith"")","list(uri = ""spotify:artist:2bA6fzP0lMAQ4kz6CF61w8"")",7,-5.659,1,0.0323,0.244,0,0.297,0.618,133.582,209867,4
spotify:track:1jGa3ZVWNhqes22ZoVBfOJ,Country Music 101:  Country's Greatest Hits,country,My Heart Skips A Beat,All-Time Greatest Hits,2010-08-31,51,"list(name = ""Buck Owens"")","list(uri = ""spotify:artist:2FMZn5P3WATd7Il6FgPJNu"")",9,-6.359,1,0.0371,0.285,0,0.0586,0.787,86.583,148320,4
spotify:track:3oyByfBYegVEDwYyqx9pRd,Country Music 101:  Country's Greatest Hits,country,Don't Rock the Jukebox,Don`t Rock The Jukebox,1991-04-03,61,"list(name = ""Alan Jackson"")","list(uri = ""spotify:artist:4mxWe1mtYIYfP040G38yvS"")",7,-10.92,1,0.0262,0.0495,0.000138,0.267,0.793,147.502,171067,4
spotify:track:7wIaLkbQzG6HMnE28etnif,Country Music 101:  Country's Greatest Hits,country,I Swear,Kickin' It Up,1994-01-14,59,"list(name = ""John Michael Montgomery"")","list(uri = ""spotify:artist:7mPcfx7PhnBh6n4HMCd61A"")",1,-7.103,1,0.0233,0.242,1.2e-05,0.147,0.266,85.523,262520,4
spotify:track:7Jpclr7tZ6aQXjoKzWXUJV,Country Music 101:  Country's Greatest Hits,country,Don't It Make My Brown Eyes Blue,We Must Believe In Magic,1977-01-01,59,"list(name = ""Crystal Gayle"")","list(uri = ""spotify:artist:6OheJTrDFGiyZ67F1BBLhc"")",6,-13.474,1,0.0444,0.799,0.00897,0.0619,0.342,84.928,157653,4
spotify:track:5KqldkCunQ2rWxruMEtGh0,Country Music 101:  Country's Greatest Hits,country,The Gambler,The Gambler,1978-11-20,76,"list(name = ""Kenny Rogers"")","list(uri = ""spotify:artist:4tw2Lmn9tTPUv7Gy7mVPI4"")",4,-13.119,1,0.0594,0.342,0,0.194,0.86,87.04,214880,4
spotify:track:0ElpjZyX8YBiXuYcDC1Ci9,Country Music 101:  Country's Greatest Hits,country,19 Somethin' - Greatest Hits Version,Greatest Hits,2002-01-01,60,"list(name = ""Mark Wills"")","list(uri = ""spotify:artist:0dlwjJe4kg9TgOMN184bJF"")",4,-5.165,1,0.0726,0.132,0,0.0776,0.814,89.938,200467,4
spotify:track:7wGVwtR6rmGxoU0j261yKj,Country Music 101:  Country's Greatest Hits,country,Teddy Bear,Teddy Bear,2005,48,"list(name = ""Red Sovine"")","list(uri = ""spotify:artist:7wVgfy012qNvQ607JM5Qsf"")",1,-10.53,1,0.332,0.783,0,0.0706,0.701,109.625,299933,3
spotify:track:6ANPIv5r3vdWntrmFa6H6M,Country Music 101:  Country's Greatest Hits,country,"Luckenbach, Texas (Back to the Basics of Love)",Ultimate Waylon Jennings,2004-03-23,56,"list(name = ""Waylon Jennings"")","list(uri = ""spotify:artist:7wCjDgV6nqBsHguQXPAaIM"")",7,-10.422,1,0.0332,0.704,0.00191,0.243,0.639,102.902,200493,4
spotify:track:5OusUgzHz6Ulb3GZT7WUo5,Country Music 101:  Country's Greatest Hits,country,Watching You,If You're Going Through Hell,2006-07-18,69,"list(name = ""Rodney Atkins"")","list(uri = ""spotify:artist:2qgvmDsc4jrqbAbjq1HGM2"")",2,-4.008,1,0.0314,0.105,0,0.23,0.716,137.993,235427,4
spotify:track:5YwgJ6lpZ3SiAQwBEpjqey,Country Music 101:  Country's Greatest Hits,country,Rose Garden,Rose Garden,1971,60,"list(name = ""Lynn Anderson"")","list(uri = ""spotify:artist:502FY8XQYRxClWgolQ3Hf2"")",0,-11.665,1,0.031,0.168,0,0.0741,0.969,131.064,175867,4
spotify:track:5g12xHasIIOu6rNGQ933qT,Country Music 101:  Country's Greatest Hits,country,When I Call Your Name,When I Call Your Name,1989-01-01,55,"list(name = ""Vince Gill"")","list(uri = ""spotify:artist:3IhWQSrLj8EJjdvjFTpCyo"")",5,-17.615,1,0.0307,0.35,0.00144,0.139,0.208,70.554,255133,3
spotify:track:6CkydK3NOAMScIhViRzXoB,Country Music 101:  Country's Greatest Hits,country,Ain't Nothing 'Bout You,#1s ... and then some,2009-09-08,58,"list(name = ""Brooks & Dunn"")","list(uri = ""spotify:artist:0XKOBt59crntr7HQXXO8Yz"")",9,-4.199,0,0.0565,0.144,1.35e-06,0.49,0.706,202.354,199274,4
spotify:track:15TITugVC8RrpLctHXOqT8,Country Music 101:  Country's Greatest Hits,country,Daddy Sang Bass,The Essential Johnny Cash,2002-02-12,56,"list(name = ""Johnny Cash"")","list(uri = ""spotify:artist:6kACVPfCOnqzgfEF5ryl0x"")",4,-7.818,1,0.0367,0.699,0.000629,0.0581,0.677,96.882,140440,4
spotify:track:0w9LJae3sVlZlH2CnxTInF,Country Music 101:  Country's Greatest Hits,country,God Gave Me You,Red River Blue (Deluxe Edition),2011-07-11,65,"list(name = ""Blake Shelton"")","list(uri = ""spotify:artist:1UTPBmNbXNTittyMJrNkvw"")",2,-5.043,1,0.0314,0.00481,7.29e-05,0.405,0.543,151.977,229533,4
spotify:track:0p1BcEcYVO3uk4KDf3gzkY,Country Music 101:  Country's Greatest Hits,country,Wanted,Hunter Hayes (Encore),2011,71,"list(name = ""Hunter Hayes"")","list(uri = ""spotify:artist:7H6dkUChT5EoOQtUVMg4cN"")",0,-7.692,1,0.0298,0.268,0,0.0816,0.3,169.784,228840,4
spotify:track:30umTfxMvL3QBUxgQPaYdp,Country Music 101:  Country's Greatest Hits,country,Hello Walls,Greatest Hits,2005,43,"list(name = ""Faron Young"")","list(uri = ""spotify:artist:6uvq6FeVsmhOWfJHxVNeBL"")",0,-11.456,1,0.0396,0.522,0.000709,0.0909,0.895,119.376,121907,4
spotify:track:2aqHQzbPcrMl6m37ndVHOQ,Country Music 101:  Country's Greatest Hits,country,You've Never Been This Far Before - Re-Recorded In Stereo,"The Final Recordings Of His Greatest Hits, Vol. 1",1993-11-02,44,"list(name = ""Conway Twitty"")","list(uri = ""spotify:artist:7gi3jmwpUpNWdswT8eEprF"")",10,-11.775,1,0.0343,0.679,0,0.106,0.684,133.355,190000,4
