uri,playlist,track.name,track.album.name,track.album.release_date,track.popularity,primaryartist_name,primaryartist_uri,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
spotify:track:5lddLjDy5knLAEeYwCcWl7,Salsa Dominicana,Probablemente,Probablemente,2018-02-16,48,Yiyo Sarante,spotify:artist:2rwLjVHS15sfzciKXXNbgA,7,-4.228,1,0.0352,0.683,0,0.137,0.886,84.435,217534,4
spotify:track:1XuSve6t0vLCm8MG7CZJOA,Salsa Dominicana,Volveré,La Industria Salsera,2014-06-27,3,Chiquito Team Band,spotify:artist:0vEYOFlkqy2FUy1UOF7RiV,5,-4.116,1,0.0323,0.563,0.00034,0.0955,0.914,105.06,254789,4
spotify:track:38b04JjXZJFWIaYlsyOZ5t,Salsa Dominicana,Adiós Amor,Adiós Amor,2018-02-13,39,Luismi,spotify:artist:4f4TexsJ2zwxc7TZp1h6iq,7,-4.636,1,0.0548,0.341,4.01e-06,0.242,0.96,100.024,255216,4
spotify:track:2SgFUZqcAnEZXxhgPiORha,Salsa Dominicana,Amiga Mía,Arriba Siempre - De Pura Sangre,2013-06-24,38,Michel el Buenón,spotify:artist:0XpNiF9v1QPnRWKKGoffQf,11,-4.092,0,0.0447,0.57,0,0.0931,0.835,164.09,306507,4
spotify:track:6Soaj6Hi9gRGnGQbqD4Rug,Salsa Dominicana,Te Estaré Esperando,La Nueva Era,2017-05-16,35,Revolucion Salsera,spotify:artist:1qwyNZHoVJYxq7MHF63YIT,1,-3.135,1,0.0493,0.263,0,0.235,0.97,112.021,262609,4
spotify:track:2fM9D3e5pyVBzqOBgMC8ap,Salsa Dominicana,Corazon de Acero,7 Exitos,2019-10-06,67,Yiyo Sarante,spotify:artist:2rwLjVHS15sfzciKXXNbgA,5,-5.654,0,0.0435,0.464,2.83e-06,0.0613,0.944,170.095,224496,4
spotify:track:69jVc60TDjrU11tIKpzVqV,Salsa Dominicana,Mi 2da Vida,Mi 2da Vida,2018-03-07,32,David Kada,spotify:artist:1mW8Ifff475lUj6Xj44we4,10,-4.131,1,0.0388,0.38,0.000235,0.0484,0.917,104.99,215536,4
spotify:track:0UD2tx4S1FzKK8vsZl4LX6,Salsa Dominicana,Y Ahora Resulta,Estoy Confundido,2017-05-12,44,Felix Manuel,spotify:artist:4jEKkpWqQJduBDOEwme4fy,7,-4.358,1,0.0653,0.493,0,0.143,0.819,106.031,241058,4
spotify:track:2qg7Bq4lwpMxfAuK99wrHc,Salsa Dominicana,Ese Tipo Soy Yo,Éxitos,2017-12-29,0,Michel el Buenón,spotify:artist:0XpNiF9v1QPnRWKKGoffQf,7,-5.851,1,0.0535,0.286,5.84e-06,0.245,0.867,93.006,258921,4
spotify:track:4mTVKaJwoQ4zqFopuTRoSP,Salsa Dominicana,Le Hace Falta Un Beso,Salsa Dominicana Vol. 2,2014-09-09,49,Pakolé,spotify:artist:7k7M8FtOPV7gvNjWwyh0u4,1,-4.267,0,0.0474,0.64,0,0.0649,0.958,102.047,252187,4
